epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,632.257,2.1317,4.14359,2.74912,0.22973,0.43666,0.241,0.12398,3.21033,7.01429,4.17561,0.000415282,0.000415282,0.000415282
2,1243.3,2.74264,3.59152,3.26762,0.43408,0.5399,0.46351,0.25603,2.55726,4.45382,3.26046,0.000749586,0.000749586,0.000749586
3,151979,2.69213,3.46934,3.18772,0.58874,0.45522,0.52478,0.30796,2.94548,3.88857,3.60588,0.00100139,0.00100139,0.00100139
4,152615,2.65692,3.2705,3.17136,0.59187,0.58064,0.60507,0.37061,2.5657,2.86962,3.18837,0.00087875,0.00087875,0.00087875
5,153256,2.53045,2.91772,3.04985,0.79452,0.58807,0.71813,0.46714,2.28533,2.41564,2.97929,0.000755,0.000755,0.000755
6,153872,2.26953,2.54793,2.83799,0.68034,0.65052,0.7258,0.48698,2.15596,2.41117,2.8397,0.00063125,0.00063125,0.00063125
7,154500,2.05843,2.28848,2.66566,0.80734,0.67242,0.78401,0.58496,1.91311,1.87999,2.65467,0.0005075,0.0005075,0.0005075
8,155156,1.91642,1.98658,2.58368,0.78485,0.71605,0.80181,0.58652,1.86475,1.83509,2.61495,0.00038375,0.00038375,0.00038375
9,155848,1.76043,1.76695,2.45126,0.84469,0.70504,0.8384,0.62995,1.75039,1.59455,2.5544,0.00026,0.00026,0.00026
10,156517,1.6502,1.58112,2.35272,0.83617,0.81317,0.88809,0.67007,1.64669,1.43779,2.43918,0.00013625,0.00013625,0.00013625
