epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,370.853,1.98414,4.72063,2.55807,0.32289,0.51857,0.34714,0.20429,2.58311,5.78224,3.31644,0.000415282,0.000415282,0.000415282
2,729.331,2.56559,3.63182,3.0662,0.57934,0.5151,0.53843,0.30791,2.57533,3.47598,3.25659,0.000749586,0.000749586,0.000749586
3,1088.87,2.62492,3.3398,3.09904,0.69849,0.51976,0.63166,0.3676,2.67579,3.11632,3.45025,0.00100139,0.00100139,0.00100139
4,2026.24,2.51853,3.12525,3.0138,0.64432,0.58159,0.6304,0.41567,2.44091,2.7461,3.12162,0.00087875,0.00087875,0.00087875
5,2380.87,2.36915,2.74396,2.88687,0.60135,0.66653,0.70524,0.48522,2.15838,2.58607,2.81655,0.000755,0.000755,0.000755
6,2742.44,2.20235,2.53267,2.77402,0.75199,0.70273,0.78292,0.5568,1.98378,2.08887,2.69525,0.00063125,0.00063125,0.00063125
7,3103.82,2.01628,2.24142,2.63399,0.72732,0.74654,0.8107,0.60064,1.92567,1.82656,2.6338,0.0005075,0.0005075,0.0005075
8,3462.17,1.89176,1.96954,2.56887,0.79383,0.76748,0.8491,0.65089,1.65684,1.62274,2.46726,0.00038375,0.00038375,0.00038375
9,3817.07,1.76122,1.74947,2.45005,0.83281,0.79572,0.87287,0.67168,1.68203,1.49502,2.443,0.00026,0.00026,0.00026
10,4177.21,1.63913,1.50972,2.37068,0.8283,0.79816,0.87582,0.68023,1.56353,1.37201,2.34905,0.00013625,0.00013625,0.00013625
