epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,393.789,1.67628,4.01633,2.10234,0.46568,0.55234,0.5296,0.36634,2.04219,4.40804,2.59425,0.000411184,0.000411184,0.000411184
2,768.575,2.28457,3.11161,2.42115,0.36624,0.43424,0.29564,0.17848,2.68655,5.72149,3.08984,0.000745894,0.000745894,0.000745894
3,1115.84,2.33447,2.78758,2.4447,0.64171,0.33819,0.42579,0.26422,2.54757,5.62829,2.98952,0.000998103,0.000998103,0.000998103
4,1477.25,2.35725,2.66348,2.47693,0.60351,0.58677,0.62063,0.40379,2.35648,3.13226,2.62652,0.00087875,0.00087875,0.00087875
5,1849.86,2.24016,2.39243,2.37163,0.67342,0.62889,0.69148,0.46658,2.08706,2.53248,2.36094,0.000755,0.000755,0.000755
6,2213.22,2.04769,2.03838,2.2738,0.77813,0.73082,0.80822,0.56548,1.96955,1.92932,2.31919,0.00063125,0.00063125,0.00063125
7,2537.89,1.95807,1.90109,2.23659,0.72714,0.79025,0.8249,0.61217,1.80044,1.74165,2.16904,0.0005075,0.0005075,0.0005075
8,4746.14,1.80694,1.63994,2.14502,0.88492,0.79606,0.90323,0.68677,1.6553,1.35625,2.09441,0.00038375,0.00038375,0.00038375
9,5261.04,1.70779,1.44604,2.09637,0.91397,0.79941,0.91296,0.72874,1.54097,1.15315,2.03652,0.00026,0.00026,0.00026
10,6416.87,1.56503,1.19363,2.03282,0.92629,0.82556,0.92112,0.74558,1.44446,1.07454,1.98344,0.00013625,0.00013625,0.00013625
